Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
3,100,WAS,Luke McCaffrey,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Rice,College Stats,McCaLu00
4,101,CAR,Ja'Tavion Sanders,TE,21,,0,0,0,,,,,,,,,,,,,,,,,,Texas,College Stats,SandJa01
4,102,DEN,Troy Franklin,WR,21,,0,0,0,,,,,,,,,,,,,,,,,,Oregon,College Stats,FranTr00
4,103,NWE,Layden Robinson,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Texas A&M,College Stats,RobiLa02
4,104,ARI,Dadrion Taylor-Demerson,DB,23,,0,0,0,,,,,,,,,,,,,,,,,,Texas Tech,College Stats,TaylDa02
4,105,LAC,Justin Eboigbe,DL,23,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats,EboiJu00
4,106,TEN,Cedric Gray,LB,21,,0,0,0,,,,,,,,,,,,,,,,,,North Carolina,College Stats,GrayCe00
4,107,NYG,Theo Johnson,TE,23,,0,0,0,,,,,,,,,,,,,,,,,,Penn St.,College Stats,JohnTh00
4,108,MIN,Khyree Jackson,DB,25,,0,0,0,,,,,,,,,,,,,,,,,,Oregon,College Stats,JackKh00
4,109,ATL,Brandon Dorlus,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,Oregon,College Stats,DorlBr00
4,110,NWE,Javon Baker,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Central Florida,College Stats,BakeJa00
4,111,GNB,Evan Williams,DB,23,,0,0,0,,,,,,,,,,,,,,,,,,Oregon,College Stats,WillEv00
4,112,LVR,Decamerion Richardson,CB,23,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi St.,College Stats,RichDe01
4,113,BAL,Devontez Walker,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,North Carolina,College Stats,WalkDe01
4,114,JAX,Javon Foster,OL,24,,0,0,0,,,,,,,,,,,,,,,,,,Missouri,College Stats,FostJa01
4,115,CIN,Erick All,TE,23,,0,0,0,,,,,,,,,,,,,,,,,,Iowa,College Stats,AllxEr00
4,116,JAX,Jordan Jefferson,DT,22,,0,0,0,,,,,,,,,,,,,,,,,,LSU,College Stats,JeffJo01
4,117,IND,Tanor Bortolini,OL,22,,0,0,0,,,,,,,,,,,,,,,,,,Wisconsin,,BortTa00
4,118,SEA,Tyrice Knight,LB,23,,0,0,0,,,,,,,,,,,,,,,,,,Texas-El Paso,College Stats,KnigTy00
4,119,PIT,Mason McCormick,OL,24,,0,0,0,,,,,,,,,,,,,,,,,,South Dakota St.,,McCoMa00
4,120,MIA,Jaylen Wright,RB,21,,0,0,0,,,,,,,,,,,,,,,,,,Tennessee,College Stats,WrigJa04
4,121,SEA,AJ Barner,TE,22,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats,BarnAJ00
4,122,CHI,Tory Taylor,P,27,,0,0,0,,,,,,,,,,,,,,,,,,Iowa,College Stats,TaylTo01
4,123,HOU,Cade Stover,TE,24,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.,College Stats,StovCa00
4,124,SFO,Malik Mustapha,DB,22,,0,0,0,,,,,,,,,,,,,,,,,,Wake Forest,College Stats,MustMa00
4,125,TAM,Bucky Irving,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Oregon,College Stats,IrviBu00
4,126,DET,Giovanni Manu,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,British Columbia,,ManuGi00
4,127,PHI,Will Shipley,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Clemson,College Stats,ShipWi00
4,128,BUF,Ray Davis,RB,24,,0,0,0,,,,,,,,,,,,,,,,,,Kentucky,College Stats,DaviRa04
4,129,SFO,Isaac Guerendo,RB,24,,0,0,0,,,,,,,,,,,,,,,,,,Louisville,College Stats,GuerIs00
4,130,BAL,T.J. Tampa,DB,22,,0,0,0,,,,,,,,,,,,,,,,,,Iowa St.,College Stats,TampTJ00
4,131,KAN,Jared Wiley,TE,23,,0,0,0,,,,,,,,,,,,,,,,,,TCU,College Stats,WileJa00
